VENDORORGANIZATIONNAME,ADDRESSLOCATIONROLES,VENDORACCOUNTNUMBER,FORMATTEDADDRESS,ADDRESSCITY,ADDRESSCOUNTRYREGIONID,ADDRESSCOUNTYID,ADDRESSDESCRIPTION,ADDRESSLOCATIONID,ADDRESSSTATEID,ADDRESSSTREET,ADDRESSSTREETNUMBER,ADDRESSVALIDFROM,ADDRESSVALIDTO,ADDRESSZIPCODE,DATAAREAID
AIRGAS NATIONAL ACCOUNTS,Remit to,V000151,"PO BOX 734445
CHICAGO, IL  60673",CHICAGO,USA,,AIRGAS USA LLC,L000061934,IL,PO BOX 734445,,08/27/2019 05:31:45,12/31/2154 16:59:59,60673,101
AIRGAS NATIONAL ACCOUNTS,Remit to,V000151,"PNC BANK
PO BOX 7423
465 HALSTEAD SUITE 160
PASADENA, CA  91109",PASADENA,USA,,"AIRGAS USA, LLC",L000043822,CA,"PNC BANK
PO BOX 7423
465 HALSTEAD SUITE 160",,05/21/2018 05:49:31,12/31/2154 16:59:59,91109,101
AIRGAS NATIONAL ACCOUNTS,Remit to,V000151,"1961 S SANTA FE AVENUE
LOS ANGELES, CA  90021-2917",LOS ANGELES,USA,,"AIRGAS USA, LLC",L000034809,CA,1961 S SANTA FE AVENUE,,03/19/2018 14:40:19,12/31/2154 16:59:59,90021-2917,101
AIRGAS NATIONAL ACCOUNTS,Remit to,V000151,"PO BOX 676015
DALLAS, TX  75267-6015",DALLAS,USA,,AIRGAS USA LLC,L000034808,TX,PO BOX 676015,,03/19/2018 14:40:19,12/31/2154 16:59:59,75267-6015,101
AIRGAS NATIONAL ACCOUNTS,Remit to,V000151,"5825 ELMWOOD AVE
INDIANAPOLIS, IN  46203-6032",INDIANAPOLIS,USA,,AIRGAS USA LLC,L000034806,IN,5825 ELMWOOD AVE,,03/19/2018 14:40:19,12/31/2154 16:59:59,46203-6032,101
AIRGAS NATIONAL ACCOUNTS,Remit to,V000151,"PO BOX 734672
DALLAS, TX  75373-4672",DALLAS,USA,,AIRGAS USA LLC,L000034805,TX,PO BOX 734672,,10-10-2019 07:47,12/31/2154 16:59:59,75373-4672,101
AIRGAS NATIONAL ACCOUNTS,Remit to,V000151,"3737 WORSHAM AV
LONG BEACH, CA  90808",LONG BEACH,USA,,"AIRGAS USA, LLC",L000034803,CA,3737 WORSHAM AV,,03/19/2018 14:40:18,12/31/2154 16:59:59,90808,101
AIRGAS NATIONAL ACCOUNTS,Remit to,V000151,"2828 28TH STREET SW
GRANDVILLE, MI  49418",GRANDVILLE,USA,,AIRGAS GREAT LAKES,L000034802,MI,2828 28TH STREET SW,,03/19/2018 14:40:18,12/31/2154 16:59:59,49418,101
AIRGAS NATIONAL ACCOUNTS,Remit to,V000151,"38 GEROGE LEVEN DRIVE
NORTH ATTLEBORO, MA  02760",NORTH ATTLEBORO,USA,,"AIRGAS USA, LLC",L000034801,MA,38 GEROGE LEVEN DRIVE,,03/19/2018 14:40:18,12/31/2154 16:59:59,02760,101
AIRGAS NATIONAL ACCOUNTS,Business;Remit to,V000151,"P O BOX 934402
ATLANTA, GA  31193-4402",ATLANTA,USA,,AIRGAS NATIONAL ACCOUNTS,L000024968,GA,P O BOX 934402,,12/20/2019 04:19:16,12/31/2154 23:59:59,31193-4402,101
AIRGAS ON SITE SAFETY SERVICES INC,Remit to,V000152,"20800 BELSHAW AVENUE
CARSON, CA  90746",CARSON,USA,,AIRGAS ON SITE SAFETY SERVICES INC,L000034812,CA,20800 BELSHAW AVENUE,,03/19/2018 14:40:19,12/31/2154 16:59:59,90746,101
AIRGAS ON SITE SAFETY SERVICES INC,Business;Remit to,V000152,"3915 E. LA SALLE ST
PHOENIX, AZ  85040",PHOENIX,USA,,AIRGAS ON-SITE SAFETY SERVICES,L000034811,AZ,3915 E. LA SALLE ST,,03/19/2018 14:40:19,12/31/2154 16:59:59,85040,101
AIRGAS ON SITE SAFETY SERVICES INC,Business;Remit to,V000152,"906 WEST 13TH STREET
DEER PARK, TX  77536",DEER PARK,USA,,AIRGAS ON-SITE SAFETY SERVICES,L000034810,TX,906 WEST 13TH STREET,,12/20/2019 04:19:17,12/31/2154 23:59:59,77536,101
AIRGAS ON SITE SAFETY SERVICES INC,Business;Remit to,V000152,"103 WEST TAFT DRIVE, ATTN ELIZABETH HANSON
SOUTH HOLLAND, IL  60473-2066",SOUTH HOLLAND,USA,,AIRGAS ON SITE SAFETY SERVICES INC,L000024970,IL,"103 WEST TAFT DRIVE, ATTN ELIZABETH HANSON",,03/19/2018 14:02:12,12/31/2154 16:59:59,60473-2066,101
AIRPORT AUTO PARTS,Business;Remit to,V000154,"56 CRAWFORD ROAD
LEOMINSTER, MA  01453",LEOMINSTER,USA,,AIRPORT AUTO PARTS,L000024974,MA,56 CRAWFORD ROAD,,12/20/2019 04:19:18,12/31/2154 23:59:59,01453,101
AIS CONSTRUCTION EQUIPMENT CORP.,Business;Remit to,V000156,"3600 N GRAND RIVER 
LANSING, MI  48906",LANSING,USA,,AIS CONSTRUCTION EQUIPMENT CORP.,L000155162,MI,3600 N GRAND RIVER,,01-06-2022 21:47,12/31/2154 23:59:59,48906,101
AIS CONSTRUCTION EQUIPMENT CORP.,Remit to,V000156,"INTERSTATE BILLING SERVICE
PO BOX 2208
DECATUR, AL  35609",DECATUR,USA,,AIS CONSTRUCTION EQUIPMENT CORP,L000082113,AL,"INTERSTATE BILLING SERVICE
PO BOX 2208",,07/30/2020 15:17:20,12/31/2154 23:59:59,35609,101
AIS CONSTRUCTION EQUIPMENT CORP.,Business;Remit to,V000156,"PO BOX 2208
DECATUR, AL  35609-2208",DECATUR,USA,,"INTERSTATE BILLING SERVICES, INC.",L000034815,AL,PO BOX 2208,,03/19/2018 14:40:20,12/31/2154 16:59:59,35609-2208,101
AIS CONSTRUCTION EQUIPMENT CORP.,Remit to,V000156,"COMMERICAL BILLING SER., PO BOX 2201
DECATUR, AL  35609-2201",DECATUR,USA,,CONTRACTORS RENTAL CORP.,L000034814,AL,"COMMERICAL BILLING SER., PO BOX 2201",,03/19/2018 14:40:20,12/31/2154 16:59:59,35609-2201,101
AIS CONSTRUCTION EQUIPMENT CORP.,Business;Remit to,V000156,"56555 PONTIAC TRAIL
NEW HUDSON, MI  48165",NEW HUDSON,USA,,AIS CONSTRUCTION EQUIPMENT CORP.,L000024978,MI,56555 PONTIAC TRAIL,,12/20/2019 04:19:20,12/31/2154 23:59:59,48165,101
AJ NESTI MATERIALS,Business;Remit to,V000157,"32 MONROE BLVD.
MONROE TWP, NJ  08831",MONROE TWP,USA,,AJ NESTI MATERIALS,L000024980,NJ,32 MONROE BLVD.,,12/20/2019 04:19:21,12/31/2154 23:59:59,08831,101
AJAX METAL PROCESSING,Business;Remit to,V000158,"ATTN:  ROB HOLLAND, 21777 HOOVER RD
WARREN, MI  48089",WARREN,USA,,AJAX METAL PROCESSING,L000024982,MI,"ATTN:  ROB HOLLAND, 21777 HOOVER RD",,12/20/2019 04:19:23,12/31/2154 23:59:59,48089,101
"AKHIA PUBLIC RELATIONS, INC",Business;Remit to,V000160,"85 EXECUTIVE PARKWAY SUITE 400
HUDSON, OH  44236",HUDSON,USA,,"AKHIA PUBLIC RELATIONS, INC",L000024985,OH,85 EXECUTIVE PARKWAY SUITE 400,,12/20/2019 04:19:24,12/31/2154 23:59:59,44236,101
"AKRON AIR PRODUCTS, INC",Business;Remit to,V000163,"715 POWELL AVE SE
HARTVILLE, OH  44632",HARTVILLE,USA,,"AKRON AIR PRODUCTS, INC",L000024990,OH,715 POWELL AVE SE,,12/20/2019 04:19:25,12/31/2154 23:59:59,44632,101
"AL & SONS HYDRAULICS, INC",Business;Remit to,V000166,"19340 ALLEN RD
BROWNSTOWN, MI  48183",BROWNSTOWN,USA,,"AL & SONS HYDRAULICS, INC",L000024994,MI,19340 ALLEN RD,,12/20/2019 04:19:29,12/31/2154 23:59:59,48183,101
ALEXANDERS HEATING & AIR CONDITIONING,Business;Remit to,V000175,"PO BOX 459, 135 11TH AVENUE
GUIN, AL  35563",GUIN,USA,,ALEXANDERS HEATING & AIR CONDITIONING,L000025012,AL,"PO BOX 459, 135 11TH AVENUE",,12/20/2019 04:19:35,12/31/2154 23:59:59,35563,101
TRIMBLE MAPS,Remit to,V000176,"PO BOX 204769
DALLAS, TX  75320-4769",DALLAS,USA,,TRIMBLE MAPS,L000044796,TX,PO BOX 204769,,06/22/2018 12:48:57,12/31/2154 16:59:59,75320-4769,101
ALKEBU-LAN VILLAGE,Business;Remit to,V000177,"MARVIS COFIELD, 7701 HARPER AVE
DETROIT, MI  48213",DETROIT,USA,,ALKEBU-LAN VILLAGE,L000025016,MI,"MARVIS COFIELD, 7701 HARPER AVE",,12/20/2019 04:19:37,12/31/2154 23:59:59,48213,101
ALL AMERICAN FORKLIFT,Business;Remit to,V000180,"PO BOX 100, DEPT NO 1501
BIXBY, OK  74008-0100",BIXBY,USA,,ALL AMERICAN FORKLIFT,L000025022,OK,"PO BOX 100, DEPT NO 1501",,12/20/2019 04:19:40,12/31/2154 23:59:59,74008-0100,101
ALL AMERICAN WASTE LLC,Remit to,V000181,"PO BOX 630
EAST WINDSOR, CT  06088",EAST WINDSOR,USA,,ALL AMERICAN WASTE LLC,L000044480,CT,PO BOX 630,,06/13/2018 10:46:03,12/31/2154 16:59:59,06088,101
ALL AMERICAN WASTE LLC,Business;Remit to,V000181,"15 MULLEN RD
ENFIELD, CT  06082",ENFIELD,USA,,ALL AMERICAN WASTE LLC,L000025024,CT,15 MULLEN RD,,12/20/2019 04:19:41,12/31/2154 23:59:59,06082,101
"ALL SEASONS LANDSCAPING CO., INC.",Business;Remit to,V000186,"8124 BELLEVILLE ROAD
BELLEVILLE, MI  48111",BELLEVILLE,USA,,"ALL SEASONS LANDSCAPING CO., INC.",L000025033,MI,8124 BELLEVILLE ROAD,,12/20/2019 04:19:46,12/31/2154 23:59:59,48111,101
ALL SEASONS PEST CONTROL,Business;Remit to,V000187,"13759 DIX TOLEDO ROAD
SOUTHGATE, MI  48195",SOUTHGATE,USA,,ALL SEASONS PEST CONTROL,L000025035,MI,13759 DIX TOLEDO ROAD,,10-07-2021 18:01,12/31/2154 23:59:59,48195,101
ALL SPRAY,Business;Remit to,V000190,"P.O. BOX 345
SWANTON, OH  43558",SWANTON,USA,,ALL SPRAY,L000025041,OH,P.O. BOX 345,,12/20/2019 04:21:34,12/31/2154 23:59:59,43558,101
"ALLEGRA MARKETING, PRINT & MAIL",Business;Remit to,V000196,"DBA ALLEGRA MARKETING, PRINT & MAIL, 47583 GALLEON DR
PLYMOUTH, MI  48170",PLYMOUTH,USA,,"ALLEGRA MARKETING, PRINT & MAIL",L000025053,MI,"DBA ALLEGRA MARKETING, PRINT & MAIL, 47583 GALLEON DR",,12/20/2019 04:21:36,12/31/2154 23:59:59,48170,101
ALLEGRA PRINT & IMAGING,Business;Remit to,V000197,"317 UNION STREET
FRANKLIN, MA  02038",FRANKLIN,USA,,ALLEGRA PRINT & IMAGING,L000025055,MA,317 UNION STREET,,12/20/2019 04:21:37,12/31/2154 23:59:59,02038,101
"ALLIED RECYCLING CENTER, INC",Business;Remit to,V000206,"1901 MAIN STREET, PO BOX 271
WALPOLE, MA  02081",WALPOLE,USA,,"ALLIED RECYCLING CENTER, INC",L000025072,MA,"1901 MAIN STREET, PO BOX 271",,12/20/2019 04:21:47,12/31/2154 23:59:59,02081,101
ALLOY SLING CHAIN IND.,Business;Remit to,V000211,"1406 W 175TH ST
EAST HAZELCREST, IL  60429",EAST HAZELCREST,USA,,ALLOY SLING CHAIN IND.,L000025082,IL,1406 W 175TH ST,,12/20/2019 04:21:50,12/31/2154 23:59:59,60429,101
"ALL-PRO OCCUPATIONAL TRAINERS, INC.",Business;Remit to,V000212,"1013 BRIDLEWOOD WAY
BRANDON, FL  33511",BRANDON,USA,,"ALL-PRO OCCUPATIONAL TRAINERS, INC.",L000124995,FL,1013 BRIDLEWOOD WAY,,08-06-2021 18:35,12/31/2154 23:59:59,33511,101
"ALL-PRO OCCUPATIONAL TRAINERS, INC.",Business;Remit to,V000212,"13240 PIKE LAKE DRIVE
RIVERVIEW, FL  33579",RIVERVIEW,USA,,"ALL-PRO OCCUPATIONAL TRAINERS, INC.",L000025084,FL,13240 PIKE LAKE DRIVE,,12/20/2019 04:21:52,12/31/2154 23:59:59,33579,101
"ALPHA ANALYTICAL, INC",Business;Remit to,V000218,"ATTN ACCOUNTS RECEIVABLE, 145 FLANDERS ROAD
WESTBOROUGH, MA  01581",WESTBOROUGH,USA,,ALPHA ANALYTICAL INC,L000034818,MA,"ATTN ACCOUNTS RECEIVABLE, 145 FLANDERS ROAD",,03/19/2018 14:40:20,12/31/2154 16:59:59,01581,101
ALRO STEEL CORPORTATION,Remit to,V000221,"DEPT 771478, PO BOX 77000
DETROIT, MI  48277-1478",DETROIT,USA,,ALRO STEEL CORPORTATION,L000034819,MI,"DEPT 771478, PO BOX 77000",,03/19/2018 14:40:20,12/31/2154 16:59:59,48277-1478,101
ALS GROUP USA CORP,Remit to,V000222,"PO BOX 975444
DALLAS, TX  75397-5444",DALLAS,USA,,ALS GROUP USA CORP,L000034822,TX,PO BOX 975444,,03/19/2018 14:40:21,12/31/2154 16:59:59,75397-5444,101
ALS GROUP USA CORP,Remit to,V000222,"P.O. BOX 975444
DALLAS, TX  75397-5444",DALLAS,USA,,ALS ENVIRONMENTAL,L000034821,TX,P.O. BOX 975444,,03/19/2018 14:40:21,12/31/2154 16:59:59,75397-5444,101
ALS GROUP USA CORP,Remit to,V000222,"3352 128TH AVE
HOLLAND, MI  49424",HOLLAND,USA,,ALS ENVIRONMENTAL,L000034820,MI,3352 128TH AVE,,03/19/2018 14:40:21,12/31/2154 16:59:59,49424,101
ALS GROUP USA CORP,Business;Remit to,V000222,"34 DOGWOOD LANE
MIDDLETOWN, PA  17057",MIDDLETOWN,USA,,ALS GROUP USA CORP,L000025104,PA,34 DOGWOOD LANE,,12/20/2019 04:22:02,12/31/2154 23:59:59,17057,101
ALSIP MANUFACTURING INC,Business;Remit to,V000223,"16700 CARSE AVE
HARVEY, IL  60426",HARVEY,USA,,ALSIP MANUFACTURING INC,L000025106,IL,16700 CARSE AVE,,12/20/2019 04:22:04,12/31/2154 23:59:59,60426,101
"ALTA CONSTRUCTION EQUIPMENT COMPANY, LLC",Remit to,V000224,"25542 NETWORK PLACE 
CHICAGO, IL  60673-1255",CHICAGO,USA,,ALTA INDUSTRIAL EQUIPMENT CO LLC,L000155454,IL,25542 NETWORK PLACE,,01-06-2022 18:30,12/31/2154 23:59:59,60673-1255,101
"ALTA CONSTRUCTION EQUIPMENT COMPANY, LLC",Remit to,V000224,"25538 NETWORK PLACE
CHICAGO, IL  60673",CHICAGO,USA,,ALTA EQUIPMENT COMPANY,L000043361,IL,25538 NETWORK PLACE,,05-07-2018 08:38,12/31/2154 16:59:59,60673,101
"ALTA CONSTRUCTION EQUIPMENT COMPANY, LLC",Remit to,V000224,"DEPT 771420
PO BOX 77000
DETROIT, MI  48277",DETROIT,USA,,ALTA CONSTRUCTION EQUIPMENT LLC,L000042443,MI,"DEPT 771420
PO BOX 77000",,04/16/2018 09:22:48,12/31/2154 16:59:59,48277,101
"ALTA CONSTRUCTION EQUIPMENT COMPANY, LLC",Remit to,V000224,"625 DISTRICT DRIVE
ITASCA,, IL  60143","ITASCA,",USA,,ALTA EQUIPMENT COMPANY,L000034829,IL,625 DISTRICT DRIVE,,03/19/2018 14:40:22,12/31/2154 16:59:59,60143,101
"ALTA CONSTRUCTION EQUIPMENT COMPANY, LLC",Remit to,V000224,"G3283 SOUTH DORT HIGHWAY
BURTON, MI  48529",BURTON,USA,,ALTA EQUIPMENT COMPANY,L000034828,MI,G3283 SOUTH DORT HIGHWAY,,03/19/2018 14:40:22,12/31/2154 16:59:59,48529,101
"ALTA CONSTRUCTION EQUIPMENT COMPANY, LLC",Remit to,V000224,"5105 LORRAINE
DETROIT, MI  48208",DETROIT,USA,,"ALTA EQUIPMENT COMPANY, LLC",L000034827,MI,5105 LORRAINE,,03/19/2018 14:40:21,12/31/2154 16:59:59,48208,101
"ALTA CONSTRUCTION EQUIPMENT COMPANY, LLC",Remit to,V000224,"28855 SMITH ROAD
ROMULUS, MI  48174",ROMULUS,USA,,ALTA EQUIPMENT COMPANY,L000034826,MI,28855 SMITH ROAD,,03/19/2018 14:40:21,12/31/2154 16:59:59,48174,101
"ALTA CONSTRUCTION EQUIPMENT COMPANY, LLC",Remit to,V000224,"56195 PONTIAC TRAIL
NEW HUDSON, MI  48165",NEW HUDSON,USA,,"ALTA  EQUIPMENT COMPANY, LLC",L000034825,MI,56195 PONTIAC TRAIL,,03/19/2018 14:40:21,12/31/2154 16:59:59,48165,101
"ALTA CONSTRUCTION EQUIPMENT COMPANY, LLC",Remit to,V000224,"13211 MERRIMAN ROAD
LIVONIA, MI  48150",LIVONIA,USA,,"ALTA EQUIPMENT COMPANY, LLC",L000034824,MI,13211 MERRIMAN ROAD,,03/19/2018 14:40:21,12/31/2154 16:59:59,48150,101
ALTA FOODCRAFT,Business;Remit to,V000225,"DBA ALTA FOODCRAFT, 20425 S SUSANA RD
LONG BEACH, CA  90810-1136",LONG BEACH,USA,,ALTA FOODCRAFT,L000025110,CA,"DBA ALTA FOODCRAFT, 20425 S SUSANA RD",,12/20/2019 04:22:06,12/31/2154 23:59:59,90810-1136,101
ALTER TRADING CORPORATION,Remit to,V000226,"PO BOX 854903
MINNEAPOLIS, MN  55485-4903",MINNEAPOLIS,USA,,ALTER TRADING CORPORATION,L000164182,MN,PO BOX 854903,,02/24/2022 22:24:13,12/31/2154 23:59:59,55485-4903,101
ALTER TRADING CORPORATION,Remit to,V000226,"4903 SOLUTION CENTER
CHICAGO, IL  60677-4009",CHICAGO,USA,,BEHR BLOOMINGTON,L000093049,IL,4903 SOLUTION CENTER,,12-08-2020 16:09,12/31/2154 23:59:59,60677-4009,101
ALTER TRADING CORPORATION,Remit to,V000226,"4903 SOLUTION CENTER
CHICAGO, IL  60677-4009",CHICAGO,USA,,BEHR IRON-PEORIA,L000092001,IL,4903 SOLUTION CENTER,,11/17/2020 15:57:58,12/31/2154 23:59:59,60677-4009,101
ALTER TRADING CORPORATION,Remit to,V000226,"4903 SOLUTIONS CENTER
CHICAGO, IL  60677-4009",CHICAGO,USA,,TRG JONESBORO,L000066424,IL,4903 SOLUTIONS CENTER,,12/28/2018 07:37:57,12/31/2154 16:59:59,60677-4009,101
ALTER TRADING CORPORATION,Business;Remit to,V000226,"1400 S WARFORD
FAYETTEVILLE, AR  72701",FAYETTEVILLE,USA,,TRG FAYETTEVILLE,L000054930,AR,1400 S WARFORD,,03/18/2019 13:00:08,12/31/2154 16:59:59,72701,101
ALTER TRADING CORPORATION,Business;Remit to,V000226,"903 FREEMAN SWITCH ROAD
BERRYVILLE, AR  72616",BERRYVILLE,USA,,TRG BERRYVILLE LLC,L000054929,AR,903 FREEMAN SWITCH ROAD,,03/20/2019 07:40:41,12/31/2154 16:59:59,72616,101
ALTER TRADING CORPORATION,Business;Remit to,V000226,"1100 SEMINARY ST
ROCKFORD, IL  61104",ROCKFORD,USA,,BEHR IRON & METAL,L000049661,IL,1100 SEMINARY ST,,11/19/2018 09:33:16,12/31/2154 16:59:59,61104,101
ALTER TRADING CORPORATION,Remit to,V000226,"2424 W CLARK STREET
PEORIA, IL  61607",PEORIA,USA,,BEHR IRON,L000049660,IL,2424 W CLARK STREET,,11/19/2018 09:32:19,12/31/2154 16:59:59,61607,101
ALTER TRADING CORPORATION,Remit to,V000226,"2834 GARDNER EXPRESSWAY
QUINCY, IL  62306",QUINCY,USA,,ALTER METALS RECYCLING-QUINCY,L000034834,IL,2834 GARDNER EXPRESSWAY,,03/19/2018 14:40:22,12/31/2154 16:59:59,62306,101
ALTER TRADING CORPORATION,Remit to,V000226,"640 SCHMIDT ROAD
DAVENPORT, IA  52802",DAVENPORT,USA,,ALTER METAL RECYCLING,L000034833,IA,640 SCHMIDT ROAD,,03/19/2018 14:40:22,12/31/2154 16:59:59,52802,101
ALTER TRADING CORPORATION,Remit to,V000226,"2603 9TH AVENUE
COUNCIL BLUFF, IA  51502",COUNCIL BLUFF,USA,,ALTER METAL RECYCLING,L000034832,IA,2603 9TH AVENUE,,03/19/2018 14:40:22,12/31/2154 16:59:59,51502,101
ALTER TRADING CORPORATION,Remit to,V000226,"1500 W AIRLINE ROAD
WATERLOO, IA  50703",WATERLOO,USA,,ALTER METAL RECYCLING,L000034831,IA,1500 W AIRLINE ROAD,,03/19/2018 14:40:22,12/31/2154 16:59:59,50703,101
ALTER TRADING CORPORATION,Remit to,V000226,"1801 EUCLID AVENUE
DES MOINES, IA  50313",DES MOINES,USA,,ALTER METAL RECYCLING,L000034830,IA,1801 EUCLID AVENUE,,03/19/2018 14:40:22,12/31/2154 16:59:59,50313,101
ALTER TRADING CORPORATION,Business;Remit to,V000226,"700 OFFICE PARKWAY
ST LOUIS, MO  63141",ST LOUIS,USA,,ALTER METAL RECYCLING,L000025112,MO,700 OFFICE PARKWAY,,12/20/2019 04:22:07,12/31/2154 23:59:59,63141,101
ALTUS RECEIVABLES MANAGEMENT,Remit to,V000228,"P.O. BOX 186
METAIRIE, LA  70004",METAIRIE,USA,,ALTUS RECEIVABLES MANAGEMENT,L000034836,LA,P.O. BOX 186,,07/25/2023 12:21:56,12/31/2154 16:59:59,70004,101
ALTUS RECEIVABLES MANAGEMENT,Business;Remit to,V000228,"2121 AIRLINE DR.
SUITE 520
METAIRIE, LA  70001",METAIRIE,USA,,ALTUS RECEIVABLES MANAGEMENT,L000025116,LA,"2121 AIRLINE DR.
SUITE 520",,07/25/2023 11:59:22,12/31/2154 23:59:59,70001,101
AMERICAN EMERGENCY MEDICAL SPECIALISTS,Business;Remit to,V000236,"PO BOX 54
SHARON, MA  02067-0054",SHARON,USA,,AMERICAN EMERGENCY MEDICAL SPECIALISTS,L000025132,MA,PO BOX 54,,12/20/2019 04:22:15,12/31/2154 23:59:59,02067-0054,101
AMERICAN ENVIRONMENTAL LANDFILL,Business;Remit to,V000237,"1420 W. 35TH ST., SUITE B
TULSA, OK  74107-3814",TULSA,USA,,AMERICAN ENVIRONMENTAL LANDFILL,L000025134,OK,"1420 W. 35TH ST., SUITE B",,12/20/2019 04:22:16,12/31/2154 23:59:59,74107-3814,101
"AMERICAN MULTITECH RESOURCES, INC.",Business;Remit to,V000246,"8103 EAST HIGHWAY  136, #169
AVON, IN  46123",AVON,USA,,"AMERICAN MULTITECH RESOURCES, INC.",L000025151,IN,"8103 EAST HIGHWAY  136, #169",,04/30/2025 11:21:02,12/31/2154 23:59:59,46123,101
AMERICAN PEST CONTROL,Business;Remit to,V000249,"1012 ELMSFORD
TROY, MI  48083",TROY,USA,,AMERICAN PEST CONTROL,L000025157,MI,1012 ELMSFORD,,12/20/2019 04:28:50,12/31/2154 23:59:59,48083,101
AMERICAN ROLL UP DOOR CO.,Remit to,V000252,"PO BOX 741605
ATLANTA, GA  30384",ATLANTA,USA,,AMERICAN ROLL UP DOOR CO.,L000034840,GA,PO BOX 741605,,03/19/2018 14:40:23,12/31/2154 16:59:59,30384,101
AMERICAN ROLL UP DOOR CO.,Business;Remit to,V000252,"211 PRIDE ROAD
TAMPA, FL  33619",TAMPA,USA,,AMERICAN ROLL UP DOOR CO.,L000025162,FL,211 PRIDE ROAD,,12/20/2019 04:28:53,12/31/2154 23:59:59,33619,101
AMERICAN SCALE CO INC,Remit to,V000253,"PO BOX 158
SAN DIMAS, CA  91773",SAN DIMAS,USA,,AMERICAN SCALE CO INC,L000034841,CA,PO BOX 158,,03/19/2018 14:40:23,12/31/2154 16:59:59,91773,101
"AVESI, INC.",Business;Remit to,V000258,"322 TRIESTE BLVD
PANAMA CITY BEACH, FL  32407",PANAMA CITY BEACH,USA,,"AVESI, INC.",L000072092,FL,322 TRIESTE BLVD,,03/19/2020 17:19:14,12/31/2154 23:59:59,32407,101
AMERICAN WASTE CONTROL,Remit to,V000259,"PO BOX 21054
TULSA, OK  74121",TULSA,USA,,AMERICAN WASTE CONTROL,L000046136,OK,PO BOX 21054,,08-03-2018 08:54,12/31/2154 16:59:59,74121,101
AMERICAN WASTE CONTROL,Business;Remit to,V000259,"1420 W. 35TH STREET
TULSA, OK  74107",TULSA,USA,,AMERICAN WASTE CONTROL,L000025176,OK,1420 W. 35TH STREET,,12/20/2019 04:28:58,12/31/2154 23:59:59,74107,101
WASTE MANAGEMENT OF OHIO,Remit to,V000260,"PO BOX 4648
CAROL STREAM, IL  60197-4648",CAROL STREAM,USA,,WASTE MANAGEMENT OF MICHIGAN,L000067292,IL,PO BOX 4648,,01/22/2020 14:56:24,12/31/2154 23:59:59,60197-4648,101
WASTE MANAGEMENT OF OHIO,Remit to,V000260,"PO BOX 4648
CAROL STREAM, IL  60197-4648",CAROL STREAM,USA,,"WM CORPORATE SERVICES, INC AS PAYMENT AGENT",L000067095,IL,PO BOX 4648,,01/20/2020 20:27:47,12/31/2154 23:59:59,60197-4648,101
WASTE MANAGEMENT OF OHIO,Remit to,V000260,"PO BOX 4648
CAROL STREAM, IL  60197-4648",CAROL STREAM,USA,,WASTE MANAGEMENT OF OHIO,L000046493,IL,PO BOX 4648,,08/13/2018 13:56:19,12/31/2154 16:59:59,60197-4648,101
WASTE MANAGEMENT OF OHIO,Remit to,V000260,"PO BOX 4648
CAROL STREAM, IL  60197",CAROL STREAM,USA,,WASTE MANAGEMENT - VICKERY ENVIRONMENTAL,L000042586,IL,PO BOX 4648,,04/19/2018 07:41:37,12/31/2154 16:59:59,60197,101
WASTE MANAGEMENT OF OHIO,Remit to,V000260,"STONY HOLLOW RDF, 2460 S GETTYBURG RD
DAYTON, OH  45418-2323",DAYTON,USA,,"WASTE MANAGEMENT OF OHIO, INC",L000034850,OH,"STONY HOLLOW RDF, 2460 S GETTYBURG RD",,03/19/2018 14:40:25,12/31/2154 16:59:59,45418-2323,101
WASTE MANAGEMENT OF OHIO,Remit to,V000260,"7916 CHAPEL ST. S.E.
WAYNESBURG, OH  44688",WAYNESBURG,USA,,WASTE MANAGEMENT - AMERICAN LANDFILL,L000034848,OH,7916 CHAPEL ST. S.E.,,03/19/2018 14:40:24,12/31/2154 16:59:59,44688,101
WASTE MANAGEMENT OF OHIO,Remit to,V000260,"3415 TOWNSHIP ROAD #447
GLENFORD, OH  43739",GLENFORD,USA,,WASTE MANAGEMENT SUBURBAN RDF,L000034847,OH,3415 TOWNSHIP ROAD #447,,03/19/2018 14:40:24,12/31/2154 16:59:59,43739,101
WASTE MANAGEMENT OF OHIO,Remit to,V000260,"2625 EAST BROADWAY
NORTHWOOD, OH  43619",NORTHWOOD,USA,,WASTE MANAGEMENT - EVERGREEN LANDFILL,L000034846,OH,2625 EAST BROADWAY,,03/19/2018 14:40:24,12/31/2154 16:59:59,43619,101
WASTE MANAGEMENT OF OHIO,Business;Remit to,V000260,"3956 STATE ROUTE 412
VICKERY, OH  43464",VICKERY,USA,,"WASTE MANAGEMENT OF OHIO, INC.",L000034845,OH,3956 STATE ROUTE 412,,12/20/2019 04:29:00,12/31/2154 23:59:59,43464,101
WASTE MANAGEMENT OF OHIO,Remit to,V000260,"1006 WALNUT ST
CANAL WINCHESTER, OH  43110",CANAL WINCHESTER,USA,,WASTE MANAGEMENT - VICKERY ENVIRONMENTAL,L000034844,OH,1006 WALNUT ST,,03/19/2018 14:40:24,12/31/2154 16:59:59,43110,101
AMERIGAS PROPANE LP,Remit to,V000262,"P.O. BOX 7155
PASADENA , CA  91109-7155",PASADENA,USA,,AMERIGAS PROPANE LP,L000305415,CA,P.O. BOX 7155,,12/20/2023 20:01:32,12/31/2154 23:59:59,91109-7155,101
